Lactose,Whey central,Whey west,Whey east,NDPSR whey avg,CME whey avg,NDPSR NFDM,34p WPC,Nonfat west,Nonfat central east,Sweet cream buttermilk central,AA butter,Cheese 40 blocks,Cheese barrel,Delac
0.405,0.775,0.79,0.75125,0.738,0.855,1.6813,1.53875,1.8,1.81,1.57,2.7941,1.9983,2.087191996790001,0.3590250264876148
0.405,0.7925,0.81,0.77625,0.7504,0.833,1.6944,1.5525,1.85,1.87,1.6,2.6661,1.9351,2.096417512940403,0.3590250264876148
0.405,0.80125,0.8,0.8025,0.7787,0.817,1.7225,1.61,1.865,1.895,1.72,2.6028,1.8786,2.0600078138084292,0.09902645801705723
0.405,0.805,0.7925,0.81125,0.7942,0.795,1.7416,1.64,1.875,1.9175,1.73,2.6893,1.8845,2.044482228836367,0.11769836515053123
0.405,0.7825,0.7825,0.8,0.795,0.753,1.7673,1.69,1.875,1.915,1.73,2.7075,1.9397,2.0569234841596433,0.11354315776749324
0.405,0.7825,0.77,0.8,0.8014,0.7575,1.7817,1.7,1.84,1.91,1.735,2.6887,1.9841,2.030912757252432,0.3590250264876148
0.415,0.775,0.76,0.795,0.7958,0.759,1.7987,1.7,1.83,1.91,1.8,2.7297,2.0328,2.014320571044755,0.3590250264876148
0.415,0.7425,0.74,0.79125,0.7895,0.746,1.7942,1.725,1.83625,1.91,1.735,2.7516,2.1119,2.181810713965898,0.3590250264876148
0.415,0.715,0.7275,0.77125,0.7938,0.6715,1.8075,1.7375,1.8325,1.905,1.785,2.7416,2.1594,2.1768181831477773,0.3590250264876148
0.425,0.645,0.6625,0.755,0.7846,0.6135,1.8225,1.77875,1.835,1.905,1.81,2.7912,2.2034,2.2871440490213204,0.3590250264876148
0.435,0.6425,0.645,0.7175,0.7684,0.635,1.8316,1.8,1.83,1.905,1.83,2.7445,2.2283,2.3145434143332504,0.3590250264876148
0.435,0.6425,0.655,0.71375,0.7293,0.637,1.8294,1.8,1.83,1.905,1.83,2.7848,2.2744,2.311824190902151,0.3590250264876148
0.435,0.635,0.655,0.7075,0.7186,0.589,1.8421,1.8,1.8,1.87,1.845,2.7718,2.323,2.178550131217487,0.3590250264876148
0.435,0.63,0.62,0.685,0.6973,0.5895,1.8329,1.8125,1.765,1.81,1.9,2.7669,2.3592,2.121789623230439,0.3590250264876148
